year,block,type,treatment,cover_pct,ppt_6mo_prior,ppt_cm_aprmay,ppt_cm_julaug,ppt_cm_gs,ppt_cm_wy,blk_bare,bg_mean_2011,Bare_2011,Herbaceous_2011,Shrub_2011,upwind_bsne,downwind_bsne,accum_bsne,rel_bsne,area_avg_cm2,vert_acc_2017,pg_2017,initial_cover,control_cover,cover_pct_delta,cover_pct_d_yearly,Annual Grasses_t0,Forb_live_t0,Litter_t0,Perennial Grasses - Alive_t0,Annual Grasses_t-1,Forb_live_t-1,Litter_t-1,Perennial Grasses - Alive_t-1
2013,1,Annual Grasses,control,0,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.38767513462459,0.501775056019592,-0.11409992139500191,-0.8746183439062549,NA,143.9505234968026,0.1,0,0,0,0,0,0,3.4,0,NA,NA,NA,NA
2013,1,Annual Grasses,plant-scale,0,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.2186612815777676,0.315767445012988,-0.0971061634352197,-0.9141287470414869,NA,143.9505234968026,2.6,0,0,0,0,0,0,5,0,NA,NA,NA,NA
2013,1,Annual Grasses,patch-scale,0,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.3071551709567722,0.309142651817372,-0.001987480860600202,-0.796361114876126,1140.8344991475,143.9505234968026,5.84,0,0,0,0,0,0.1,12.1,0,NA,NA,NA,NA
2013,1,Annual Grasses,plant- & patch-scale,0,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.631906832618371,0.265341728851342,0.366565103767029,1.156858481710848,1069.3092193025,143.9505234968026,5.82,0,0,0,0,0,0,11.5,0,NA,NA,NA,NA
2013,1,Forb_live,control,0,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.38767513462459,0.501775056019592,-0.11409992139500191,-0.8746183439062549,NA,143.9505234968026,0.1,0,0,0,0,0,0,3.4,0,NA,NA,NA,NA
2013,1,Forb_live,plant-scale,0,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.2186612815777676,0.315767445012988,-0.0971061634352197,-0.9141287470414869,NA,143.9505234968026,2.6,0,0,0,0,0,0,5,0,NA,NA,NA,NA
2013,1,Forb_live,patch-scale,0.1,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.3071551709567722,0.309142651817372,-0.001987480860600202,-0.796361114876126,1140.8344991475,143.9505234968026,5.84,0,0,0.1,0.1,0,0.1,12.1,0,NA,NA,NA,NA
2013,1,Forb_live,plant- & patch-scale,0,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.631906832618371,0.265341728851342,0.366565103767029,1.156858481710848,1069.3092193025,143.9505234968026,5.82,0,0,0,0,0,0,11.5,0,NA,NA,NA,NA
2013,1,Litter,control,3.4,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.38767513462459,0.501775056019592,-0.11409992139500191,-0.8746183439062549,NA,143.9505234968026,0.1,3.4,3.4,0,0,0,0,3.4,0,NA,NA,NA,NA
2013,1,Litter,plant-scale,5,21.0058,0.3556,6.8834,0.3302,20.2438,11,0.17,0.437855608,0.498798837,0.063345556,0.2186612815777676,0.315767445012988,-0.0971061634352197,-0.9141287470414869,NA,143.9505234968026,2.6,3.4,3.4,1.6,1.6,0,0,5,0,NA,NA,NA,NA
